------------------------------------------------------------------------------------
| id    | date         | region       | pollutant                     | estimated  |
====================================================================================
| "353" | "12/09/2007" | "Mackay"     | "Petrol"                      | "40"       |
| "183" | "9/09/2004"  | "Cairns"     | "Sheen"                       | "5"        |
| "636" | "4/02/2013"  | "Townsville" | "Diesel"                      | "10"       |
| "925" | "20/10/2017" | "Brisbane"   | "Diesel"                      | "10"       |
| "891" | "10/02/2017" | "Townsville" | "Diesel"                      | "15"       |
| "317" | "3/03/2007"  | "Mackay"     | "Diesel"                      | "50"       |
| "694" | "19/10/2013" | "Mackay"     | "Other (Lube Oil)"            | "3"        |
| "930" | "28/10/2017" | "Townsville" | "Garbage "                    | "8.25"     |
| "956" | "13/05/2018" | "Brisbane"   | "Coal dust"                   | "2"        |
| "743" | "6/06/2014"  | "Cairns"     | "Other (Hydraulic Oil)"       | "30"       |
| "321" | "12/03/2007" | "Brisbane"   | "Other - Hydraulic"           | "15"       |
| "808" | "10/11/2015" | "Townsville" | "Diesel"                      | "2"        |
| "375" | "31/01/2008" | "Cairns"     | "HFO"                         | "50"       |
| "193" | "12/10/2004" | "Brisbane"   | "Diesel"                      | "100"      |
| "810" | "30/11/2015" | "Cairns"     | "Diesel"                      | "5"        |
| "493" | "14/11/2010" | "Cairns"     | "Diesel "                     | "200"      |
| "232" | "11/04/2005" | "Brisbane"   | "Bilge"                       | "40"       |
| "451" | "16/09/2009" | "Brisbane"   | "Diesel"                      | "20"       |
| "370" | "1/01/2008"  | "Brisbane"   | "Diesel"                      | "100"      |
| "929" | "28/10/2017" | "Cairns"     | "Diesel"                      | "2"        |
| "799" | "20/08/2015" | "Gladstone"  | "Hydraulic oil"               | "1"        |
| "789" | "17/07/2015" | "Townsville" | "Heavy Fuel Oil"              | "> 10,000" |
| "620" | "9/11/2012"  | "Brisbane"   | "Diesel"                      | "200"      |
| "445" | "26/06/2009" | "Brisbane"   | "Sheen"                       | "60"       |
| "405" | "30/07/2008" | "Gladstone"  | "Hydraulic "                  | "4"        |
| "905" | "26/03/2017" | "Cairns"     | "Diesel"                      | "300"      |
| "335" | "26/05/2007" | "Mackay"     | "Sheen"                       | "2"        |
| "943" | "23/01/2018" | "Townsville" | "Sheen "                      | "1"        |
| "914" | "29/06/2017" | "Cairns"     | "Other (grey water)"          | "40"       |
| "485" | "13/08/2010" | "Gladstone " | "HFO"                         | "100"      |
| "280" | "5/06/2006"  | "Townsville" | "Diesel"                      | "50"       |
| "665" | "10/06/2013" | "Gladstone"  | "Lanolin"                     | "1"        |
| "554" | "19/01/2012" | "Mackay"     | "Hydraulic "                  | "1"        |
| "675" | "1/07/2013"  | "Gladstone"  | "Other (Hydraulic Oil)"       | "10"       |
| "750" | "18/07/2014" | "Brisbane"   | "Diesel"                      | "20"       |
| "661" | "3/06/2013"  | "Townsville" | "Hydraulic Fluid"             | "30"       |
| "479" | "13/05/2010" | "Cairns"     | "Diesel"                      | "3"        |
| "763" | "21/09/2014" | "Cairns"     | "Diesel"                      | "1"        |
| "495" | "25/11/2010" | "Brisbane"   | "Hydraulic"                   | "20"       |
| "344" | "10/08/2007" | "Gladstone"  | "Diesel"                      | "200"      |
| "610" | "19/10/2012" | "Mackay"     | "Hydraulic Fluid"             | "1"        |
| "627" | "1/12/2012"  | "Mackay"     | "Diesel"                      | "20"       |
| "669" | "20/06/2013" | "Gladstone"  | "Hydraulic Fluid"             | "1"        |
| "787" | "4/07/2015"  | "Townsville" | "Diesel"                      | "10"       |
